Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
Barbie in A Mermaid Tale 2,CAN,2012,74,3,0,Fantasia,1,3.3
Os Vingadores,USA,2012,143,2.5,0,Ação,0,3.7
Men in Black 3,USA,2012,106,3.5,0,Ação,0,3.1
Madagascar 3,USA,2012,93,3,0,Aventura,1,3
Valente,USA,2012,93,5,0,Fantasia,1,3.4
Era do Gelo 4,USA,2012,88,3,0,Aventura,1,2.7
V/H/S,USA,2012,116,2,0,Terror,0,2.8
Frankenweenie,USA,2012,87,3,0,Comédia,1,3.4
ParaNorman,USA,2012,90,3.5,0,Comédia,1,3.6
The Dark Knight Rises,USA,2012,165,2.5,0,Thriller,0,3.8
Diário de um Banana 3: Dias de Cão,USA,2012,94,3.5,0,Comédia,0,3.1
Tinker Bell: O Segredo das Fadas,USA,2012,75,4,0,Fantasia,1,3.5
Hotel Transylvania,USA,2012,91,2.5,0,Comédia,1,3.3
Barbie: The Princess & The Popstar,USA,2012,86,4,0,Fantasia,1,3.3
Life of Pi,IND,2012,127,3,0,Drama,0,3.7
Até que a Sorte nos Separe,BRA,2012,104,3,0,Comédia,0,2.9
Wreck-It Ralph,USA,2012,101,4,0,Aventura,1,3.6
A Origem dos Guardiões,USA,2012,97,2,0,Fantasia,1,3.5
Django Unchained,USA,2012,165,5,0,Western,0,4.3
Barbie in the Pink Shoes,CAN,2013,75,2.5,0,Fantasia,1,3.2
52 Tuesdays,AUS,2013,114,3,0,Drama,0,3.2
The Croods,USA,2013,96,3,0,Aventura,1,3.1
Homem de Ferro 3,USA,2013,130,1,0,Ação,0,3
The Great Gatsby,USA,2013,143,4,0,Romance,0,3.4
The Purge,USA,2013,86,3.5,0,Thriller,0,2.7
Monsters University,USA,2013,104,4,0,Comédia,1,3.4
Meu Malvado Favorito 2,USA,2013,98,4,0,Comédia,1,3.2
Minha Mãe é uma Peça,BRA,2013,85,4.5,0,Comédia,0,3.7
Gente Grande 2,USA,2013,101,1.5,0,Comédia,0,2.6
Percy Jackson: Sea of Monsters,USA,2013,106,1.5,0,Fantasia,0,2.1
Teen Beach Movie,USA,2013,95,3.5,0,Musical,0,3.3
Aviões,USA,2013,91,1,0,Aventura,1,2.1
Prisoners,USA,2013,153,4.5,0,Thriller,0,4.3
Monster High: 13 Wishes,USA,2013,73,5,0,Fantasia,1,3.8
Frozen,USA,2013,102,4,0,Fantasia,1,3.4
Até que a Sorte nos Separe 2,BRA,2013,102,2,0,Comédia,0,2.7
The Smurfs 2,USA,2013,105,1.5,0,Comédia,1,2.0
Whiplash,USA,2014,107,5,0,Drama,0,4.4
The Babadook,AUS,2014,94,3.5,0,Terror,0,3.4
The Lego Movie,USA,2014,100,5,0,Aventura,1,3.8
The Grand Budapest Hotel,USA,2014,100,5,0,Drama,0,4.2
Tinker Bell and the Pirate Fairy,USA,2014,78,3.5,0,Fantasia,1,3.3
Barbie: The Pearl Princess,CAN,2014,73,2,0,Fantasia,1,3.1
Divergent,USA,2014,139,2.5,0,Ação,0,2.9
Rio 2,USA,2014,101,3,0,Aventura,1,2.7
